ObjectID,GlobalID,Found Date,Found_UUID,Linked_Incident_UUID,Linked_Team,Linked_Incident_Date,How Were the Subject(s) Found?,Specify Other for How Subject(s) Were Found,Subject Mobility and Responsiveness,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
1590,10fd27eb-40c1-4fd4-9df1-eddd43ee2a49,,,E0A45A9A-2683-47AE-8E87-9CD1B2609E74,,,OTHER,subject walked out trail on own,Mobile_and_Responsive,436b4304-9abc-4f1e-98a8-1c213104b850,11/13/2022 12:19:37 AM,MRA_Admin,11/13/2022 12:54:33 AM,MRA_Admin,-121.43566,47.7816700000001
1591,a3305b5d-bdbd-4ce3-a534-4d5d77e887bf,,,989F9635-A48C-42AD-8CF9-0C8194F08899,,,PASSERBY,,Mobile_and_Responsive,4bdee644-4518-4e0f-995d-c9129395e000,11/13/2022 12:19:37 AM,MRA_Admin,11/13/2022 12:54:33 AM,MRA_Admin,-121.52356,47.3191100000001
1592,4592214c-c19b-4757-b4e7-b818279199b2,,,C8773929-BD3D-400D-8B47-2E1CF6941A61,,,SELF-RESCUED,,Mobile_and_Responsive,677758cd-88c3-471d-ab33-c0018b75ddc8,11/13/2022 12:19:37 AM,MRA_Admin,11/13/2022 12:54:33 AM,MRA_Admin,-123.32142,47.51147
1593,d11241fe-2f5d-477e-9590-b50cf2d24836,,,99DE9389-6643-453D-AC54-187A8A24631F,,,PATROL,,Mobile_and_Responsive,98d6e590-dc47-41a7-a18e-4cc6bf2c984d,11/13/2022 12:19:37 AM,MRA_Admin,11/13/2022 12:54:33 AM,MRA_Admin,-105.936336105,35.7102822680001
1594,c1b7e639-2cdf-4f05-ba14-a7c0d6778dfc,,,2A9AFD02-267C-427A-8402-B60EFE261F3F,,,CONFINEMENT,,Mobile_and_Responsive,22a352ec-3026-45fd-85ff-f392e9df8bb9,11/13/2022 12:19:37 AM,MRA_Admin,11/13/2022 12:54:33 AM,MRA_Admin,-106.465718807,35.2161002620001
1595,7a5c4e4d-7883-42d9-8ce4-ecb1deafb74e,,,64309CF7-8108-479C-8319-FCEC9005A504,,,GROUND_TEAM,,Mobile_and_Responsive,77daa62b-db8f-4726-a38d-370d9420a9bd,11/13/2022 12:19:37 AM,MRA_Admin,11/13/2022 12:54:33 AM,MRA_Admin,-121.74293,47.4914000000001
1596,993e0711-1834-4f59-9270-6b5efabce27a,,,ACE98211-8B6B-40D2-8475-12676B82F1E9,,,GROUND_TEAM,,Mobile_and_Responsive,ead043b3-1bdb-4c74-b6c1-c3b8fa206d9d,11/13/2022 12:19:37 AM,MRA_Admin,11/13/2022 12:54:33 AM,MRA_Admin,-122.3447,47.7572500000001
1597,65587122-ac9f-48cc-bd4c-e69f6487b097,,,C0C739C4-008A-43F6-8A93-6C555628CB78,,,"GROUND_TEAM,TECH_RESCUE_TEAM",,Immobile_and_Unresponsive,346e4c68-6ce3-43b4-a0e6-bf7a5335a5ad,11/13/2022 12:19:37 AM,MRA_Admin,11/13/2022 12:54:33 AM,MRA_Admin,-116,32.89705
1598,a7b63537-e6fe-4c38-a2b4-eb9f48b996be,,,5E712654-04FF-458A-8DFF-8CEE400EAAD2,,,CONFINEMENT,,Mobile_and_Responsive,4aa1f282-def5-472a-9b9d-647b24fc8bd9,11/13/2022 12:19:37 AM,MRA_Admin,11/13/2022 12:54:33 AM,MRA_Admin,-111.7087,35.2948000000001
1599,0f69f200-63d0-4bd1-82a1-24bd7b00c87e,,,9BAA3F6A-8EC5-48E6-882B-9D7AB5A7D926,,,GROUND_TEAM,,Mobile_and_Responsive,0d7ac36a-7e93-4469-8514-a294ca5ca92c,11/13/2022 12:19:37 AM,MRA_Admin,11/13/2022 12:54:33 AM,MRA_Admin,-107.06236,39.6523300000001
