objectid,GlobalID,How Were the Subject(s) Found?,Specify Other for How Subject(s) Were Found,Subject Mobility and Responsiveness,ParentGlobalID,CreationDate,Creator,EditDate,Editor,Linked_Incident_UUID,Linked_Team,Linked_Incident_Date,Found_Date,Found_UUID,x,y
1893,dcbd68d0-0364-4a82-8e03-2e3e0b253de6,"CELL_PHONE_TOWER,GROUND_TEAM",,Immobile_and_Responsive,6da43fb5-b609-428c-8bc5-10b8dc88ffe9,1/2/2020 3:51:24 AM,H60161,1/2/2020 3:51:24 AM,H60161,dc1cedbd-32ce-4a6a-b511-3621ad20d8ac,Rocky_Mtn_Rescue_Group,9/28/2019 12:15:00 AM,,,-105.293692501406,39.9824387962643
1897,e3ed2627-c6d8-4e1b-86c8-274704559088,GROUND_TEAM,,Mobile_and_Responsive,02dbbdda-ef5b-46c1-88f5-2a6a28fd903e,1/2/2020 5:54:07 PM,D10213,1/2/2020 5:54:07 PM,D10213,12ab02fd-f252-4f88-8c28-9ed3f45d070a,Coconino_Co_Sheriffs_SAR_Unit,12/29/2019 8:00:00 PM,,,-111.717799999598,35.3092000001366
1898,1f3bac58-5ef1-4364-893b-2191b47ebcc7,"AIRCRAFT-HELICOPTER,BOAT,GROUND_TEAM,K9-HRD",,Immobile_and_Unresponsive,54db9f5b-0ce4-4b10-80ca-5731f3881a7f,1/2/2020 5:59:43 PM,D10213,1/2/2020 5:59:43 PM,D10213,40861d95-fff7-4614-9516-eac58b45e8d8,Coconino_Co_Sheriffs_SAR_Unit,12/3/2019 3:00:00 PM,,,-111.235899999717,33.7617999996933
1899,2ce1e773-eb47-4932-8dbb-ef5496b54e20,GROUND_TEAM,,Mobile_and_Responsive,3166c7e8-5d93-468e-8be3-5f4e5ef0c391,1/2/2020 6:21:40 PM,D10213,1/2/2020 6:21:40 PM,D10213,87b06f47-29f2-4437-bde2-e2dd00fa13fa,Coconino_Co_Sheriffs_SAR_Unit,12/29/2019 9:30:00 PM,,,-111.717500000022,35.3165999997357
1900,28d23a7d-a187-4fad-ba93-6e9dde512e04,Helicopter,,,,1/2/2020 8:04:59 PM,D10213,1/2/2020 8:04:59 PM,D10213,,,,,,-112.514057085112,35.5552738151938
1916,8046baf3-7bf4-4aa7-8384-c8b49a04925a,,,,fbc07740-46e3-4098-8afe-946a60c7d54a,1/3/2020 3:46:36 AM,H60161,11/30/2020 9:02:37 PM,MRA_Admin,,,,,,-105.284061765653,39.9934653403147
1918,e9d598b6-c4e0-424f-83b9-bf1dbcb0b5b7,GROUND_TEAM,,Mobile_and_Responsive,19bfb364-218e-41e1-887e-d9000aad4126,1/3/2020 4:22:06 PM,B94176,1/3/2020 4:22:06 PM,B94176,882b136f-f6ea-4a92-a67e-9785ec58624f,Stowe_Mtn_Rescue,1/1/2020 9:45:00 PM,,,-72.8051089997415,44.5150799998581
1924,fde146cb-f046-4fab-8068-831b61741422,GROUND_TEAM,,Mobile_and_Responsive,2a5ce459-9f8e-449e-8071-e9ebd830760f,1/3/2020 7:01:15 PM,H60161,1/3/2020 7:01:15 PM,H60161,d967dfd8-4c6c-4986-a638-2a35cfef0b98,Rocky_Mtn_Rescue_Group,7/13/2019 5:38:00 AM,,,-105.2947372852,39.9900911060472
1939,34d2f6fc-d550-42f3-8e85-bade76da3a5a,AIRCRAFT-HELICOPTER,,Immobile_and_Unresponsive,f24af6d5-9568-4c76-829d-3d6b98271dbf,1/5/2020 12:27:24 AM,I58151,1/5/2020 12:27:24 AM,I58151,9a2a6340-3147-4ed1-bd8f-f8d70ab77f8a,Olympic_Mtn_Rescue,6/27/2019 11:15:00 PM,,,-121.734930000406,46.786019999987
1941,9a9a8081-71e7-4fa1-831f-5af033f663a2,"CELL_PHONE_TOWER,TECH_RESCUE_TEAM",,Immobile_and_Unresponsive,08a00a20-601f-4d7e-81ca-d1123bcac174,1/5/2020 2:24:22 AM,I58151,1/5/2020 2:24:22 AM,I58151,c0fa4ea2-c7e1-4a14-8f11-ee6831075900,Olympic_Mtn_Rescue,7/11/2019 1:30:00 AM,,,-121.401210000114,47.4623300002482
1942,23231432-1e1f-4f59-81f7-d5b96615d333,GROUND_TEAM,,Immobile_and_Unresponsive,743fd122-cac1-48a1-8bf3-062a91b615e1,1/5/2020 2:41:48 AM,I58151,1/5/2020 2:41:48 AM,I58151,59137715-b063-47e9-8099-661b68a49aa1,Olympic_Mtn_Rescue,7/11/2019 1:45:00 AM,,,-121.678979999597,48.8619600001021
1963,deeee30d-eedb-4439-82c6-8b856e4906e4,OHV_TEAM,,Mobile_and_Responsive,815bde21-d1c6-423e-8488-12482cab4f13,1/6/2020 6:26:29 PM,H87188,1/6/2020 6:26:29 PM,H87188,47585b4e-ec1f-4083-92c3-df3f8af3daef,West_State_Colorado_U_Mtn_Resc,8/16/2019 3:56:00 AM,,,-106.480319999957,38.755120000338
1979,07611eb7-9daa-4152-884d-81e55512db41,"AIRCRAFT-HELICOPTER,GROUND_TEAM",,Mobile_and_Responsive,f6a030e2-6fac-4e96-8f45-81ec3381a066,1/6/2020 11:36:39 PM,D10213,1/6/2020 11:36:39 PM,D10213,e2728460-819a-4c10-8d66-0a1026338a78,Coconino_Co_Sheriffs_SAR_Unit,1/6/2020 2:39:00 PM,,,-111.671499999811,35.3228000001857
1981,b1ad76e4-6d17-4d16-812f-503bbdf15e23,GROUND_TEAM,,Mobile_and_Responsive,22ce0763-d2b1-489c-841d-52c857be9222,1/7/2020 1:00:16 AM,I58151,1/7/2020 1:00:16 AM,I58151,2a352fc0-0529-4d6c-ac70-9ee41d3f88b6,Olympic_Mtn_Rescue,7/31/2019 12:00:00 AM,,,-122.541260000304,47.875110000228
1994,1d59b558-92c7-4b85-87b2-8bc8d0145cac,PASSERBY,,Mobile_and_Responsive,be585a76-935f-4a55-802a-21b5c641c777,1/8/2020 6:06:25 PM,H97153,1/8/2020 6:06:25 PM,H97153,7c8f0827-b937-4cbd-a7ea-5fdeae65c3d8,Park_County_SAR,6/30/2019 8:11:00 PM,,,-105.990000000188,39.2799999997346
2004,e10e39d1-8826-423a-854b-e8d8b207d27e,"CELL_PHONE_TOWER,SELF-RESCUED",,Mobile_and_Responsive,43d56571-5a2e-4191-8de7-fec8745e90a7,1/10/2020 3:28:39 PM,H831829,1/10/2020 3:28:39 PM,H831829,bb4c8a0e-2226-4e23-8a33-5ef86ece965c,Vail_Mtn_Rescue_Group,1/8/2020 11:45:00 PM,,,-106.692088993257,39.4408047996989
2006,9d42281b-d19d-48d3-8518-a19680faa297,"K9_TEAM,K9-AIR_SCENT,K9-HRD",,Immobile_and_Unresponsive,578115b9-e43a-436d-8beb-2f733e874f27,1/10/2020 8:33:44 PM,H97153,1/10/2020 8:33:44 PM,H97153,7a5a4a71-8e63-48e6-938f-968109e45293,Park_County_SAR,7/12/2019 1:03:00 AM,,,-106.080000000445,39.2700000002365
2007,e57f5f1f-74cd-41ac-8f8e-a9f7b6f07c0f,GROUND_TEAM,,Mobile_and_Responsive,af08c0f9-3deb-4f20-8d42-2294ffb6051b,1/10/2020 8:49:36 PM,H97153,1/10/2020 8:49:36 PM,H97153,189b51f1-7867-4475-b6a7-84cc38025810,Park_County_SAR,7/17/2019 8:23:00 PM,,,-105.610000000201,39.3399999996793
2008,96802b36-203e-4b37-8dfa-ce8174809112,OTHER,Reported back at home by a relative,Mobile_and_Responsive,7f2aaab0-d69b-4a43-8e1e-39c44cf9da2d,1/10/2020 9:00:45 PM,H97153,1/10/2020 9:00:45 PM,H97153,082c6d7c-a835-491c-9af1-811f40d023db,Park_County_SAR,7/19/2019 10:10:00 PM,,,-104.860000000156,38.8400000001504
2015,7f67fc60-649b-427b-84b6-5c7e60526f0a,PATROL,,Immobile_and_Responsive,c7d4b2ae-38fa-4158-8b2a-d1c5df74ca6e,1/10/2020 10:37:32 PM,H97153,1/10/2020 10:37:32 PM,H97153,d288cc5f-4eaf-498a-b4fd-3797dc5a62ad,Park_County_SAR,8/18/2019 1:49:00 PM,,,-105.710000000387,39.2400000000445
2018,c5c9332e-57ad-430d-87de-337956ec39ea,PATROL,,Mobile_and_Responsive,7af648f8-1da6-424c-8ce3-87a6c722102e,1/10/2020 11:20:45 PM,H97153,1/10/2020 11:20:45 PM,H97153,2a21fed1-e4c6-47ad-8c61-c0a213fd88db,Park_County_SAR,8/17/2019 12:32:00 AM,,,-105.590000000344,38.8600000001915
2022,f5136e3e-17b7-41dc-82a2-fcc49c4eb757,PATROL,,Mobile_and_Unresponsive,499ce7d7-9555-49b5-8a40-68b4ca770a55,1/11/2020 12:09:08 AM,H97153,1/11/2020 12:09:08 AM,H97153,8208d816-b9e3-43c8-9594-48844832ab8a,Park_County_SAR,9/11/2019 9:20:00 PM,,,-105.450000000443,39.1199999996769
2040,b9a906f8-ab5b-4532-8fce-783af65ceea5,,,,b7d419c9-a9d8-406b-8e70-dca08befc6d8,1/11/2020 5:36:02 PM,lorenpfau_MSAR,11/30/2020 9:32:15 PM,MRA_Admin,,,,,,-105.537914481818,39.6170769817895
2059,ea789b0e-ba78-487f-89da-92b3cf273cf9,SELF-RESCUED,,Mobile_and_Responsive,e8e69dc3-60ce-46ea-82b8-9b156ff3921b,1/11/2020 8:30:14 PM,H60161,1/11/2020 8:30:14 PM,H60161,e24d93c0-6554-4e71-b6aa-35acb913d550,Rocky_Mtn_Rescue_Group,8/7/2019 8:21:00 PM,,,-105.443433401954,40.1239024010267
2062,cfc0da00-acf5-43d1-8702-1a48aedd128a,PATROL,,Mobile_and_Responsive,f5899a06-83ac-4a01-8479-d2648bf75898,1/11/2020 8:37:01 PM,H60161,1/11/2020 8:37:01 PM,H60161,ddb69d02-029f-4d2a-8c2f-1eb511d13a06,Rocky_Mtn_Rescue_Group,8/9/2019 3:23:00 PM,,,-105.47984411468,40.1989256938637
2064,a5a531ed-371b-45ee-899d-4c16db3bd4eb,GROUND_TEAM,,Mobile_and_Responsive,68ed1ef0-b7d1-48cd-86c4-5fd365a0d1c9,1/12/2020 9:07:54 PM,H831829,1/12/2020 9:07:54 PM,H831829,94c47f2c-2a19-405f-a803-1461efb54945,Vail_Mtn_Rescue_Group,1/23/2019 11:15:00 PM,,,-106.230448635097,39.5438354669501
2070,3fdf3780-b4c0-4a58-8489-867f1d414c3a,"AIRCRAFT-HELICOPTER,GROUND_TEAM,PASSERBY",,Mobile_and_Responsive,c4a0d75d-9c7e-409f-88e7-8400a70694c7,1/13/2020 6:02:43 PM,E85163,1/13/2020 6:02:43 PM,E85163,9bef6fd6-fa1d-4451-bfb1-9bc0d48037b0,Salt_Lake_County_Sheriffs_SAR,1/3/2020 10:00:00 PM,,,-111.608700000007,40.6847399998945
2077,0007638e-c81e-4494-817e-9a4280c8d72d,FAMILY/FRIENDS,,Mobile_and_Responsive,b59cad29-b02d-416c-85d9-1acb0f939e4d,1/14/2020 4:08:27 PM,H97153,1/14/2020 4:08:27 PM,H97153,28ce7e60-2371-4a9f-b766-7845ed6bfd56,Park_County_SAR,11/20/2019 7:28:00 PM,,,-105.539999999802,39.540000000101
2096,83fcbfe3-7c51-40ba-85ba-3714790304e1,"AIRCRAFT-HELICOPTER,GROUND_TEAM",,Mobile_and_Responsive,b4ff7d56-2759-4261-80f8-1686a2d0d8aa,1/14/2020 11:33:47 PM,I58151,1/14/2020 11:33:47 PM,I58151,acaca00c-3d7c-43bd-8445-7da6316350c6,Olympic_Mtn_Rescue,8/27/2019 10:30:00 PM,,,-121.195584149359,48.2510019979683
2128,257d3c34-8b7d-4790-8ca2-f5a99a985c5f,GROUND_TEAM,,Mobile_and_Responsive,129888cc-c682-4b76-86a7-11b5c45c4d21,1/15/2020 10:21:44 PM,D62175,1/15/2020 10:21:44 PM,D62175,a70f64a9-617b-478b-a2f5-f5d042af8b65,Southern_Arizona_Rescue_Assoc,3/24/2020 1:33:00 PM,,,-111.128301771279,33.0322738822417
2182,3562a748-ff8e-4881-8d86-19ee01e96187,GROUND_TEAM,,Mobile_and_Responsive,01c803f0-f048-423d-8b6b-bfd58a4db8c2,1/16/2020 6:55:37 PM,I58151,1/16/2020 6:55:37 PM,I58151,f7588002-a1d0-4c37-9fd6-cbe8e5a9472b,Olympic_Mtn_Rescue,12/28/2019 6:45:00 PM,,,-123.49561518683,47.9744491529244
2183,92c651a5-23a4-4356-8ba6-90d52fa787af,SELF-RESCUED,,Mobile_and_Responsive,30b162eb-cc58-4cbd-8a4f-e94d1a78eb18,1/16/2020 8:08:50 PM,D10213,1/16/2020 8:08:50 PM,D10213,166eac38-4b86-4759-92cc-335f4095616c,Coconino_Co_Sheriffs_SAR_Unit,1/12/2020 12:00:00 AM,,,-112.532500000053,36.946099999783
2213,2b58412e-6590-4090-8eea-55e010571596,AIRCRAFT-HELICOPTER,,Mobile_and_Responsive,5ce87fff-27bc-43bf-8a9e-938306cd3b37,1/17/2020 7:44:30 PM,A03200,1/17/2020 7:44:30 PM,A03200,3b6dadb2-41bf-4540-9942-6f149ab16b43,Juneau_Mtn_Rescue,3/23/2019 11:32:00 PM,,,-134.687220000345,58.4696699998903
2216,a7fb7580-35c7-4dca-8408-45ecb89227d2,AIRCRAFT-HELICOPTER,,Immobile_and_Responsive,765b0d5a-f2ae-4b39-808a-0b2877022d2a,1/17/2020 8:09:07 PM,A03200,1/17/2020 8:09:07 PM,A03200,a48d582c-6f3e-4474-9e45-84ce88346b8a,Juneau_Mtn_Rescue,1/17/2020 10:00:00 PM,,,-134.39255999996,58.4021999998979
2217,c03bdb30-39ab-467b-8cb1-4bea03ccd06d,SELF-RESCUED,,Mobile_and_Responsive,65b7dcb3-3cdb-4f57-8c60-9f8ac42eecc9,1/17/2020 8:18:01 PM,A03200,1/17/2020 8:18:01 PM,A03200,4a6bf017-1de4-446a-98a5-86c4d80dc8d5,Juneau_Mtn_Rescue,6/21/2019 2:50:00 AM,,,-134.590730212048,58.4189726901502
2220,b0a870f8-c51b-4dca-8a71-82bf60cb531f,AIRCRAFT-HELICOPTER,,Mobile_and_Responsive,d9548b2e-7d18-4d69-8c17-27f0908e3163,1/17/2020 8:30:23 PM,A03200,1/17/2020 8:30:23 PM,A03200,690809ca-14db-43ec-892b-5e9625e538e8,Juneau_Mtn_Rescue,7/24/2019 10:40:00 PM,,,-134.360600000191,58.3230000000445
2221,11377a5d-cf69-494b-8456-a9746a373b82,GROUND_TEAM,,Mobile_and_Responsive,ccb8bf2f-05a5-4183-8408-b31a7bb03674,1/17/2020 9:20:57 PM,A03200,1/17/2020 9:20:57 PM,A03200,35f4abf6-4a48-4b89-9e46-3d96ead2716a,Juneau_Mtn_Rescue,8/17/2019 8:38:00 PM,,,-134.479325999617,58.4260500000365
2222,a029ddb9-ecc4-4199-81dc-08ba295e7ba8,AIRCRAFT-HELICOPTER,,Mobile_and_Responsive,296c3a29-e8aa-4673-8c84-8c7a8053c928,1/17/2020 9:26:27 PM,A03200,1/17/2020 9:26:27 PM,A03200,f82929e1-40dc-4a6e-be12-f4800e147e75,Juneau_Mtn_Rescue,8/29/2019 1:00:00 AM,,,-134.557323570735,58.4485164490041
2223,1255433a-0f18-4620-8800-0dcaebc2ea39,SELF-RESCUED,,Mobile_and_Responsive,32d55b93-06e6-4ea3-826a-236c0d52e113,1/17/2020 9:29:42 PM,A03200,1/17/2020 9:29:42 PM,A03200,1a53f584-a821-44cc-b0cd-fb7f72226fb5,Juneau_Mtn_Rescue,9/10/2019 8:10:00 AM,,,-134.590968043714,58.4181258471756
2225,7f91959a-4da2-4d1d-813d-4c8678496c89,GROUND_TEAM,,Mobile_and_Responsive,d1c28b1e-c4c1-44ed-8e35-5a36bc92dcec,1/17/2020 9:38:16 PM,A03200,1/17/2020 9:38:16 PM,A03200,626e6855-827e-4273-982c-bac2e83fc041,Juneau_Mtn_Rescue,10/7/2019 3:27:00 AM,,,-138.000000000254,58.4420600001224
2228,3ad9b0b5-ff1b-450c-8991-26d8241e52e5,GROUND_TEAM,,Mobile_and_Responsive,9873ba54-12a6-4eec-83f8-955243ecc8e5,1/17/2020 9:48:42 PM,A03200,1/17/2020 9:48:42 PM,A03200,f4b8075a-d4a2-4600-b9c4-8a12f138021d,Juneau_Mtn_Rescue,11/30/2019 2:35:00 AM,,,-134.572741486212,58.4292301248124
2237,8aab03af-7e02-49d4-8221-b48d384143e8,OTHER,Unknown,Mobile_and_Responsive,9a6d6d3b-a794-4ddc-83fd-f4fc1ed3f3f5,1/19/2020 11:52:22 PM,H60161,1/19/2020 11:52:22 PM,H60161,55227f9b-766e-47b2-b34d-7b94a22264aa,Rocky_Mtn_Rescue_Group,8/16/2019 12:11:00 AM,,,-105.521067867746,40.1291836273342
2243,1745dbc0-3b71-4035-8338-9b5e0738f97e,GROUND_TEAM,,Mobile_and_Responsive,6eb2c951-7758-47a5-81b8-e5b036f0eb00,1/20/2020 12:14:17 AM,H60161,1/20/2020 12:14:17 AM,H60161,2a322698-efa3-40df-946e-3a108ebf5fee,Rocky_Mtn_Rescue_Group,8/24/2019 4:22:00 AM,,,-105.634536114053,39.9948417308598
2244,64391934-37cb-4364-8f64-3019ee50b10d,GROUND_TEAM,,Mobile_and_Responsive,506fd739-cb8f-40ff-8fdd-2043e1acc46b,1/20/2020 12:16:35 AM,H60161,1/20/2020 12:16:35 AM,H60161,3956cbb5-bff1-419c-955f-5950e7a9b5ca,Rocky_Mtn_Rescue_Group,8/24/2019 6:03:00 AM,,,-105.28243414502,39.9310693738467
2261,f187f980-556e-45c3-9783-4d025cc6682b,GROUND_TEAM,,Immobile_and_Unresponsive,70271118-d4c6-4924-8cba-0d4a6ab05167,1/21/2020 7:41:36 PM,H831829,1/21/2020 7:41:36 PM,H831829,,,,,,-106.531180520964,39.6340208017676
2266,006b1b84-48bb-4b90-b343-6b25ab365826,OTHER,Facilities staff,Mobile_and_Responsive,cd0a8377-5194-4a5f-9e5b-d50ea60f9499,1/24/2020 5:41:03 PM,H821382,1/24/2020 5:41:03 PM,H821382,dcdac84a-fdf2-4ca1-8802-801f777e682c,Larimer_County_SAR,12/29/2019 10:00:00 AM,,,-105.566956773306,40.3415897571794
2271,b16ed6ba-f58d-4604-bd26-daf8c042bd34,"K9-HRD,K9-AIR_SCENT",,Immobile_and_Unresponsive,5ecac1e1-c206-44ca-bf12-a7dee5995547,1/24/2020 6:23:01 PM,H821382,1/24/2020 6:23:01 PM,H821382,41b9d2df-6137-4bd7-8efd-b1e9af65d07a,Larimer_County_SAR,7/3/2019 3:00:00 PM,,,-106.075485490934,39.2679487242331
2276,20db8b42-48b1-4e96-941f-1246fbbeeffb,OTHER,unknown,Immobile_and_Unresponsive,66b7afe4-cdf6-4c44-917c-abe5955445e3,1/24/2020 6:44:28 PM,H821382,1/24/2020 6:44:28 PM,H821382,c3c17dee-047f-4044-a311-c0ec805dbeda,Larimer_County_SAR,9/6/2019 3:00:00 PM,,,-105.278471028617,40.0618799998743
2280,c36ed3f6-fc79-4e58-84d2-6d0b38c962d9,OTHER,unkown,Mobile_and_Responsive,d1ffafb5-818e-4f30-b324-562a7c790db0,1/24/2020 6:55:54 PM,H821382,1/24/2020 6:55:54 PM,H821382,87b6785a-42fa-4071-9e26-2b1bd900c1b1,Larimer_County_SAR,3/21/2019 3:00:00 PM,,,-105.251179499718,39.9889440002828
2310,4b6cdf0c-997e-42fe-8681-0c49ea1d4b0b,SELF-RESCUED,,Mobile_and_Responsive,b24069f5-bb25-4fec-8047-4ed2ad38e8ec,1/25/2020 2:06:57 AM,H60161,1/25/2020 2:06:57 AM,H60161,876e60e6-56ff-463b-b3a5-1938ecff6636,Rocky_Mtn_Rescue_Group,8/25/2019 6:03:00 PM,,,-105.638029999959,39.9976999999991
2312,0470ad5b-3411-4aec-8c0c-5918bba9be67,SELF-RESCUED,,Mobile_and_Responsive,88074b14-5a2b-4e5d-8ff0-d47b464407e7,1/25/2020 9:14:23 PM,H831829,1/25/2020 9:14:23 PM,H831829,4e826d5e-55a8-4343-82a5-3270227bcf17,Vail_Mtn_Rescue_Group,1/25/2019 11:39:00 PM,,,-106.536569139756,39.6411336483334
2313,dde4f57f-4f34-4e17-8644-ab09ae8125ef,GROUND_TEAM,,Mobile_and_Responsive,d653cba9-8f82-46ec-8b17-1745993721db,1/25/2020 10:24:49 PM,H831829,1/25/2020 10:24:49 PM,H831829,695d3e47-52c5-4adb-a21d-67982f6b9e48,Vail_Mtn_Rescue_Group,12/3/2019 10:43:00 PM,,,-106.258220672841,39.5601532172206
2314,06fcf430-7103-47a0-8bbe-27988a59d481,SELF-RESCUED,,Mobile_and_Responsive,9e529799-e5ea-4f90-894d-4f85a795ebf6,1/27/2020 1:51:47 PM,H60161,1/27/2020 1:51:47 PM,H60161,fc0c457d-801f-493e-a627-59fdace20e0d,Rocky_Mtn_Rescue_Group,9/1/2019 6:56:00 PM,,,-105.525659999783,40.1928700001041
2315,4df4c390-f8cb-4575-80f0-9e2b935dc196,PATROL,,Mobile_and_Responsive,80be0814-a0b0-4a47-8a10-c5540fbbda4a,1/27/2020 1:54:35 PM,H60161,1/27/2020 1:54:35 PM,H60161,c8eb15ae-bc8e-4472-a93b-8500b036c378,Rocky_Mtn_Rescue_Group,9/1/2019 9:05:00 PM,,,-105.598129999803,39.9535899997388
2316,19a043d9-1011-4ef2-85f2-7ff881be8ac8,GROUND_TEAM,,Immobile_and_Responsive,76d61e70-98cc-46fc-8593-f4d770e808db,1/28/2020 5:26:33 AM,C11219,1/28/2020 5:26:33 AM,C11219,92c6b958-1e4a-4d0e-9226-9bab1970830f,Douglas_County_SAR_Nevada,8/20/2018 4:56:00 AM,,,-119.882220000295,38.9422199998745
2317,753a5cbd-dc8f-418d-8a9d-9286c625dde0,AIRCRAFT-HELICOPTER,,Mobile_and_Responsive,ac830ace-4d0e-45f5-84e5-0d4a6f6962cd,1/28/2020 5:46:25 AM,C11219,1/28/2020 5:46:25 AM,C11219,ffcec1a9-1a16-4b0e-a7d8-c89c366b5bd2,Douglas_County_SAR_Nevada,9/8/2018 5:30:00 PM,,,-119.903889999706,39.2902800002417
2318,0e73301c-ec82-47ae-856b-122f4aa1a4a6,AIRCRAFT-HELICOPTER,,Mobile_and_Responsive,a2e14482-9cb6-4797-85c0-b61735dc1339,1/28/2020 6:07:45 AM,C11219,1/28/2020 6:07:45 AM,C11219,7d62be34-0342-4720-a2d3-7cef899b3598,Douglas_County_SAR_Nevada,9/9/2018 2:30:00 PM,,,-119.946980000081,39.1032300002894
2319,f36d5765-bc3b-458d-8278-2a7abc7210e4,GROUND_TEAM,,Immobile_and_Unresponsive,7326da3d-f865-42f2-8856-a8868982bf73,1/29/2020 5:52:35 AM,A62103,1/29/2020 5:52:35 AM,A62103,50530b5d-80f1-444b-a906-77381a8b7b45,Alaska_Mtn_Rescue_Group,5/1/2019 11:15:00 PM,,,-149.284724999875,61.2217850000525
2320,05f32178-4cb1-4659-8f7b-448cb170e7e5,PATROL,,Mobile_and_Responsive,6d0de808-3cf9-478d-82b9-4ae6155e4816,1/29/2020 8:08:54 PM,C11219,1/29/2020 8:08:54 PM,C11219,c64e761e-6bcd-4d21-bdb7-d4b41c178827,Douglas_County_SAR_Nevada,1/14/2019 3:30:00 AM,,,-119.844399999772,38.9312399997783
2321,b43a5e8d-c774-4c3a-ba75-9c9a8716c1ba,OTHER,Unknow how the location was determined. This looks like an 'escort' mission.,Mobile_and_Responsive,90862ea3-1865-44c7-a54e-e7cb1c70d2d0,1/29/2020 11:53:33 PM,H821382,1/29/2020 11:53:33 PM,H821382,53748674-df9d-484d-8693-f73059af38c9,Larimer_County_SAR,6/16/2019 1:54:00 AM,,,-105.512980685587,40.3073841847592
2322,611ccd5e-3abb-41d9-8d8f-31478a44a093,PATROL,,Mobile_and_Responsive,c78f962d-ff12-458a-861a-658b1d925fb1,1/30/2020 12:09:59 AM,H821382,1/30/2020 12:09:59 AM,H821382,89fb5808-2879-4540-b999-89b8b3b995a1,Larimer_County_SAR,9/18/2019 12:31:00 AM,,,-105.711953893622,40.9528899801196
2323,b0ed8f39-a3ea-4ea5-8681-36ab59bdd979,OTHER,Unknown,Mobile_and_Responsive,01f2f6c0-299c-4be3-8df2-848b41d1e80b,1/30/2020 3:36:00 AM,H60161,1/30/2020 3:36:00 AM,H60161,3cddb6e3-3ad9-47fa-9e16-58dc2da12d96,Rocky_Mtn_Rescue_Group,9/2/2019 9:40:00 PM,,,-105.300280000098,40.1493899999038
2324,59016701-e590-414e-b1a2-3a209c79d78e,GROUND_TEAM,,Mobile_and_Responsive,54fb04cc-9eda-45bb-b3a9-bee4c0151687,1/30/2020 11:05:28 PM,H821382,1/30/2020 11:05:28 PM,H821382,1d0ba46d-65ef-482a-9c60-62a30fe88758,Larimer_County_SAR,7/23/2018 9:41:00 PM,,,-105.511202241411,40.2993828160058
2325,0e37fa3c-9716-4b99-b9a7-ab8fa45310fe,PATROL,,Immobile_and_Unresponsive,f47249fe-050d-4888-876a-1978b8aba2da,1/30/2020 11:17:57 PM,H821382,1/30/2020 11:17:57 PM,H821382,4096b25f-8149-47fe-a7a9-9b2ab7caffcc,Larimer_County_SAR,1/22/2018 11:06:00 PM,,,-104.962540591373,40.6536116819716
2326,a48d8668-b735-4d5a-a351-bb548224f019,GROUND_TEAM,,Mobile_and_Responsive,c6ee1343-22f5-4ece-aab1-97fc08ad2d3f,1/30/2020 11:28:14 PM,H821382,1/30/2020 11:28:14 PM,H821382,43aefd91-3d64-451d-a4bf-2e99a119a111,Larimer_County_SAR,3/26/2018 2:15:00 AM,,,-105.284293409723,40.6948120140386
2327,7e93af08-c653-4cf2-a9c3-e570f4208f16,OTHER,unspecified,Immobile_and_Unresponsive,903ad822-12ea-41fe-b507-076c003a6b9f,1/31/2020 12:53:48 AM,H821382,1/31/2020 12:53:48 AM,H821382,f23e25ad-a068-4fcb-8da3-a308d480b284,Larimer_County_SAR,5/1/2018 3:11:00 AM,,,-105.585105446873,37.6527780081368
2328,1d9fa6fe-de67-4e8f-85e1-8d85fc703f4a,AIRCRAFT-FIXED_WING,,Mobile_and_Responsive,ae80dd4a-9c64-423d-86dd-9f22fbf38d75,2/1/2020 7:42:28 AM,G58155,6/5/2021 7:07:42 AM,MRA_Admin,796c74a7-309c-4250-a14b-5e4b06ea2f9b,Portland_Mtn_Rescue_Unit,1/10/2016 12:00:00 AM,,,-121.667782941551,45.3933522730332
2329,a4d7203c-4bae-4d46-88b0-831ccedac851,AIRCRAFT-FIXED_WING,,Mobile_and_Responsive,78e8d5a3-4667-42dd-8699-d4011f4eb0e9,2/1/2020 7:49:40 AM,G58155,6/5/2021 7:07:42 AM,MRA_Admin,51acde04-5de9-49ba-9f17-1e26175bfa04,Portland_Mtn_Rescue_Unit,1/9/2016 12:00:00 AM,,,-121.665637175358,45.3964261322293
2330,695fa00b-a440-47cf-9fa1-bee33d02cfbc,INVESTIGATIVE,,Mobile_and_Responsive,665e8fb4-0ba5-4b4b-ad9f-0ba4e9a7dc98,2/1/2020 2:10:27 PM,H821382,2/1/2020 2:10:27 PM,H821382,06c6cd36-f098-4895-a102-f5f1c679899d,Larimer_County_SAR,6/27/2018 1:01:00 PM,,,-105.089412757239,40.5845676071311
2331,81595cad-0cc4-4996-b1c1-7dcdbf00d454,CELL_PHONE_TOWER,,Mobile_and_Responsive,d80b52c7-bfab-45ed-beb3-5ed5825d47d1,2/1/2020 2:56:52 PM,H821382,2/1/2020 2:56:52 PM,H821382,2e9f6c1c-8e69-47f9-b3e1-300de79192e3,Larimer_County_SAR,7/30/2018 1:46:00 PM,,,-105.533702000278,40.5164410002712
